time;b-value;magnitud_anterior;magnitud_actual
0.03036712319953950000000000000000000;-0.16156788761281600000000000000000000;3.40;6.20
0.00296437757197054000000000000000000;-0.03675876211228460000000000000000000;3.90;5.90
0.08161792695477740000000000000000000;-0.10081836187039800000000000000000000;3.00;5.70
0.04803819444418880000000000000000000;-0.04557266554720140000000000000000000;3.90;5.70
0.00067759773651232500000000000000000;-0.01755070875185520000000000000000000;3.50;5.50
0.09744904192416470000000000000000000;-0.09790691927102400000000000000000000;3.70;5.40
0.01226424254127780000000000000000000;-0.02647322955765170000000000000000000;3.80;5.40
0.01522331532919450000000000000000000;-0.15259283999271200000000000000000000;3.10;5.30
0.01104420653291530000000000000000000;-0.05833806473327370000000000000000000;4.00;5.30
0.01169737011332470000000000000000000;-0.10932161044199300000000000000000000;4.40;5.20
0.02643531378635090000000000000000000;-0.01231167914679670000000000000000000;3.40;5.20
0.13708487654321300000000000000000000;-0.01949057145536960000000000000000000;5.00;5.20
0.07969994212953680000000000000000000;-0.03868353149746450000000000000000000;3.30;5.10
0.08017547582312550000000000000000000;-0.01311085597205870000000000000000000;5.20;5.10
0.12982121270579200000000000000000000;-0.00582976914066868000000000000000000;4.10;5.00
0.03277298739726580000000000000000000;-0.04329868615812760000000000000000000;3.00;4.90
0.00001176697537630390000000000000000;-0.05702396033393620000000000000000000;6.20;4.80
0.00845907278812774000000000000000000;-0.05463118179457620000000000000000000;3.00;4.80
0.01580259773663780000000000000000000;-0.09108075736929730000000000000000000;4.10;4.70
0.33118904321008800000000000000000000;-0.11368593485900400000000000000000000;4.60;4.70
0.02931548996912170000000000000000000;-0.01600200743932410000000000000000000;3.60;4.70
0.02007005529821980000000000000000000;-0.02011181262865780000000000000000000;4.70;4.70
0.00588763503105838000000000000000000;-0.01893657128316240000000000000000000;3.60;4.70
0.00146916795279139000000000000000000;0.01085763348841740000000000000000000;3.60;4.60
0.02618110210914890000000000000000000;-0.11898013280586900000000000000000000;3.90;4.60
0.00126269933116419000000000000000000;-0.01861245702700010000000000000000000;3.90;4.60
0.02971765689289900000000000000000000;-0.01110664451332500000000000000000000;3.40;4.60
0.01853417566849200000000000000000000;-0.01315246765303630000000000000000000;3.40;4.60
0.10024421296293400000000000000000000;-0.02736418433346140000000000000000000;3.00;4.60
0.00238760288084450000000000000000000;-0.01624447199077760000000000000000000;4.00;4.60
0.00111300797334479000000000000000000;-0.01448539682045910000000000000000000;3.40;4.60
0.01623414994878660000000000000000000;-0.01364052520939680000000000000000000;3.00;4.60
0.01939364711938650000000000000000000;-0.07394085945756920000000000000000000;3.00;4.50
0.00070325360093193000000000000000000;-0.07609475040230930000000000000000000;3.30;4.50
0.00323559670778195000000000000000000;-0.03440899722539200000000000000000000;4.40;4.50
0.01842811213987260000000000000000000;0.01102319219516710000000000000000000;3.90;4.50
0.00353404706788751000000000000000000;-0.01520010926519330000000000000000000;3.30;4.50
0.00148270318936738000000000000000000;-0.02407315230907310000000000000000000;3.70;4.50
0.14356770833319400000000000000000000;-0.01003916971574760000000000000000000;3.60;4.50
0.01906436471199410000000000000000000;-0.05027637179490760000000000000000000;3.10;4.40
0.05984972993837800000000000000000000;-0.08344481152071740000000000000000000;3.50;4.40
0.01964872685175580000000000000000000;-0.07887372087887390000000000000000000;3.40;4.40
0.00940020576126699000000000000000000;-0.08225274278470710000000000000000000;4.00;4.40
0.05528922325106580000000000000000000;-0.02593964353610570000000000000000000;3.10;4.40
0.00161458333332121000000000000000000;-0.07034736488077780000000000000000000;3.20;4.40
0.06661734825115670000000000000000000;-0.02644106434722890000000000000000000;3.20;4.40
0.06791316229418950000000000000000000;-0.05271548333092680000000000000000000;4.40;4.40
0.18322518004129100000000000000000000;-0.03472503853171070000000000000000000;5.30;4.40
